Altair	견우성	牽牛星
convection	환류	還流
convenience	편의	便宜
convenience	편익	便益
convention	협약	協約
conversation	회화	會話
conversation	담화	談話
conversation	대화	對話
conversation	대화	對話
conversion	전향	轉向
conversion	개종	改宗
conviction	확신	確信
convolution	회선	回旋
convoy	호송	護送
convoy	호위	護衛
convulsion	경련	痙攣
cooler	냉각기	冷却器
coolness	냉정	冷靜
coolness	냉담	冷淡
coordinate	좌표	座標
cop	포박하다	捕縛
cope	대처하다	對處
cope	대처하다	對處
copy	복사	複寫
copy	복사하다	複寫
copyist	필생	筆生
copyright	판권	版權
coquetry	교태	嬌態
coral	산호	珊瑚
cornea	각막	角膜
cornerstone	초석	礎石
corporation	법인	法人
corpuscle	미립자	微粒子
correction	정정	訂正
correction	보정	補正
correction	첨삭	添削
correction	교정	矯正
correction	교정	矯正
correlative	상관적인	相關的
correspond	일치하다	一致
correspondence	대응	對應
correspondence	통신	通信
corridor	회랑	回廊
corrosion	침식	浸蝕
corrosive sublimate	승홍	昇汞
corruption	타락	墮落
corruption	매수	買收
corruption	전와	轉訛
cortex	피층	皮層
cortex	피질	皮質
corundum	강옥	鋼玉
cosmetic	화장품	化粧品
cost	비용	費用
cost	가격	價格
cost price	원가	原價
cotton goods	면제품	綿製品
cotton picker	채면기	採綿器
cotton powder	면화약	綿火藥
cotyledon	자엽	子葉
council	회의	會議
counsel	권고	勸告
count	계산하다	計算
count	계산하다	計算
count	백작	伯爵
countenance	안색	顔色
counterattack	역습	逆襲
counterespionage	방첩	防諜
countermand	철회하다	撤回
counterpoint	대위법	對位法
counterpoise	평형하다	平衡
counterpropaganda	역선전	逆宣傳
counterrevolution	반혁명	反革命
countersignature	부서	副署
country	국가	國家
country	전원	田園
couple	부부	夫婦
courage	용기	勇氣
courage	담력	膽力
course	진로	進路
course	침로	針路
course	과정	課程
course	방향	方向
course	과정	課程
course	일품	一品
courtesy	예의	禮儀
courtesy	호의	好意
courtroom	법정	法廷
courtship	구혼	求婚
covenant	맹약	盟約
covenant	계약하다	契約
cover	엄호하다	掩護
covering	엄호	掩護
cow pox	우두	牛痘
cowardice	비겁	卑怯
cowboy	목동	牧童
crack	분류하다	分溜
craftsman	명공	名工
crane	기중기	起重機
cranial nerve	뇌신경	腦神經
cranium	두개	頭蓋
crape myrtle	백일홍	百日紅
crawl	포복하다	匍匐
craziness	발광	發狂
creation	창조	創造
creative	창조적인	創造的
creator	창조자	創造者
creature	생물	生物
creche	탁아소	託兒所
credence	신용	信用
credibility	진실성	眞實性
credit	신용	信用
credit	신용	信用
credit	명예	名譽
credit	신용하다	信用
creditor	채권자	債權者
creed	신조	信條
creep	포복하다	匍匐
creeping	포복	匍匐
cremation	화장	火葬
crime	범죄	犯罪
criminal	범인	犯人
criminal	범죄자	犯罪者
criminal law	형법	刑法
cripple	폐인	廢人
crisis	위기	危機
critical	비판적인	批判的
criticism	비평	批評
criticism	비판	批判
criticism	평론	評論
criticism	비난	非難
critique	평론	評論
crook	악한	惡漢
crop	농작물	農作物
cross	십자가	十字架
cross	절충	折衷
cross section	단면	斷面
cross talk	혼신	混信
crossing	교차	交叉
crowd	군중	群衆
crowd	군집하다	群集
crowd	군집하다	群集
crown	왕관	王冠
crown	왕위	王位
cruelty	잔학	殘虐
cruelty	잔혹	殘酷
cruise	순항하다	巡航
cruise	순항	巡航
cruiser	순양함	巡洋艦
crust	갑각	甲殼
crystal	수정	水晶
cube	입방체	立方體
cube	입방	立方
cuisine	요리	料理
culmination	극치	極致
culprit	범죄자	犯罪者
cultivation	경작	耕作
cultivation	재배	栽培
cultivation	양식	養殖
cultivation	배양	培養
cultivator	경작자	耕作者
cultivator	경운기	耕耘機
cultural	문화적인	文化的
culture	문화	文化
culture	수양	修養
culture	양식	養殖
culture	배양	培養
culture	재배하다	栽培
culture	경작하다	耕作
culvert	암거	暗渠
curator	관장	館長
cure	치유	治癒
curiosity	호기심	好奇心
currency	통화	通貨
current	풍조	風潮
curve	곡선	曲線
curve	곡선	曲線
curve	만곡하다	彎曲
custody	보관	保管
custom	풍습	風習
custom	관례	慣例
custom	습관	習慣
customer	고객	顧客
cut	절단하다	切斷
cut	절단하다	切斷
cuticle	각피	角皮
cutting	절단	切斷
cycle	주기	週期
cycle	주파	周波
cycle	순환하다	循環
cylinder	원주	圓柱
cylinder	원통	圓筒
dagger	단도	短刀
dairy products	유제품	乳製品
damage	손해	損害
damage	손상	損傷
dampness	습기	濕氣
dancing	무도	舞蹈
danger	위험	危險
data	자료	資料
date	연월일	年月日
dawn	여명	黎明
day off	휴일	休日
daytime	주간	晝間
deacon	집사	執事
deadlock	정돈	停頓
death	사망	死亡
death	사신	死神
death penalty	사형	死刑
deathbed	임종	臨終
debate	토론하다	討論
debility	쇠약	衰弱
debt	부채	負債
decadence	쇠미	衰微
decay	부패하다	腐敗
decay	부패	腐敗
decease	사망하다	死亡
deceleration	감속	減速
decentralization	분산	分散
decision	결정	決定
deck	갑판	甲板
declaration	선언	宣言
declarative sentence	평서문	平敍文
declination	편차	偏差
decompression	감압	減壓
decorate	장식하다	裝飾
decoration	훈장	勳章
decorative	장식적인	裝飾的
decrease	감소	減少
decree	판결	判決
decrepitude	노후	老朽
dedication	헌신	獻身
dedication	헌정	獻呈
deduction	공제	控除
deed	행위	行爲
defamation	중상	中傷
defame	중상하다	中傷
defeat	타파	打破
defecation	배변	排便
defect	결점	缺點
defendant	피고	被告
defense	방위	防衛
defense	수비	守備
defense	변호	辨護辯護
defensive	수세	守勢
defiance	도전	挑戰
defiance	반항	反抗
deficit	결손	缺損
definition	정의	定義
defoliation	낙엽	落葉
deformation	변형	變形
degeneration	악화	惡化
degradation	좌천	左遷
degradation	타락	墮落
degradation	좌천	左遷
degree	정도	程度
degree	학위	學位
deification	신격화	神格化
dejection	낙담	落膽
delay	지체하다	遲滯
delay	지연	遲延
delegate	대표자	代表者
delegate	사절	使節
deletion	삭제	削除
deliberation	숙고	熟考
deliberation	심의	審議
delinquency	비행	非行
delivery	배달	配達
delusion	미망	迷妄
demand	요구	要求
demand	청구	請求
demand	요구하다	要求
demarcation	구분	區分
demigod	반신	半神
democracy	민주주의	民主主義
democratic	민주적인	民主的
demon	악마	惡魔
demonstration	논증	論證
demotion	좌천	左遷
demotion	강등	降等
denial	부정	否定
denial	부인	否認
denial	거부	拒否
denominator	분모	分母
denouement	대단원	大團圓
density	밀도	密度
departure	출발	出發
dependence	의존	依存
dependency	속령	屬領
dependency	속국	屬國
dependent	의존하는	依存
depiction	묘사	描寫
deportment	품행	品行
deposit	예금	預金
depositor	공탁자	供託者
depositor	예금자	預金者
depot	정거장	停車場
depravity	타락	墮落
deputy	대리	代理
derivation	유래	由來
descendant	자손	子孫
descent	하강	下降
description	서술	敍述
description	묘사	描寫
desertion	유기	遺棄
design	설계	設計
design	계획하다	計劃
designate	지명하다	指名
designation	지정	指定
designation	임명	任命
desire	소원	所願
desire	욕구	慾求
despair	절망	絶望
desperate	절망적인	絶望的
desperation	필사	必死
desperation	자포자기	自暴自棄
despise	경멸하다	輕蔑
despoil	약탈하다	掠奪
despondency	낙담	落膽
despot	독재자	獨裁者
despot	폭군	暴君
destiny	천명	天命
destroyer	파괴자	破壞者
destroyer	구축함	驅逐艦
destruction	파괴	破壞
destruction	멸망	滅亡
destructive	파괴적인	破壞的
detachment	분리	分離
detail	세부	細部
detainee	억류자	抑留者
detention	억류	抑留
detention	구류	拘留
detergent	세제	洗劑
deterioration	악화	惡化
deterioration	저하	低下
determination	결심	決心
deterrent	방해하는	妨害
dethronement	폐위	廢位
development	발달	發達
development	발전	發展
deviation	편차	偏差
device	고안	考案
devil	악마	惡魔
devoted	헌신적인	獻身的
devotion	헌신	獻身
devotion	귀의	歸依
dew point	노점	露點
dextrin	호정	糊精
diabetes	당뇨병	糖尿病
diadem	왕관	王冠
diagnosis	진단	診斷
diagram	도표	圖表
dialect	방언	方言
dialogue	대화	對話
dialogue	문답	問答
dialogue	대화하다	對話
diameter	직경	直徑
diary	일기	日記
dictate	명령하다	命令
dictator	독재자	獨裁者
dictatorial	독재적인	獨裁的
dictionary	사전	辭典
dictionary	사서	辭書
differentiation	구별	區別
difficulty	곤란	困難
difficulty	지장	支障
diffusion	보급	普及
digest	요약하다	要約
digest	요약	要約
digestion	소화	消化
dignity	위엄	威嚴
dignity	존엄	尊嚴
dignity	관록	貫祿
dignity	품위	品位
digression	여담	餘談
dilemma	궁지	窮地
diligence	근면	勤勉
dilution	희석	稀釋
dimension	차원	次元
dining table	식탁	食卓
dinner	만찬	晩餐
dinner	오찬	午餐
dinosaur	공룡	恐龍
diplomat	외교관	外交官
direct current	직류	直流
direct proportion	정비례	正比例
direct ratio	정비례	正比例
direction	방위	方位
direction	방향	方向
direction	지휘	指揮
director	지휘자	指揮者
director	중역	重役
dirt	오물	汚物
disagreement	불일치	不一致
disappear	소실하다	消失
disappearance	실종	失踪
disappointment	실망	失望
disapproval	부인	否認
disassembly	분해	分解
disaster	천재	天災
disaster	재해	災害
disaster	참사	慘事
disbursement	출비	出費
discharge	발사하다	發射
discharge	방출하다	放出
discharge	해고하다	解雇
discharge	이행하다	履行
discharge	발사하다	發射
discharge	발사	發射
discharge	해고	解雇
disciple	제자	弟子
disciple	사도	使徒
discipline	훈육	訓育
discipline	징계	懲戒
discipline	징계하다	懲戒
disclosure	폭로	暴露
discoloration	변색	變色
discord	불일치	不一致
discord	불화하다	不和
discount	할인	割引
discount	할인하다	割引
discouragement	낙담	落膽
discoverer	발견자	發見者
discredit	불신	不信
discrepancy	불일치	不一致
discretion	신중	愼重
discrimination	차별	差別
discrimination	식별	識別
discus	원반	圓盤
discussion	토론	討論
discussion	토의	討議
discussion	논의	論議
discussion	변론	辯論
disdain	경멸	輕蔑
disdain	경멸하다	輕蔑
disembarkation	상륙	上陸
disgrace	치욕	恥辱
disguise	변장하다	變裝
disguise	변장	變裝
disgust	혐오	嫌惡
disinfection	소독	消毒
disinfection	살균	殺菌
disorder	무질서	無秩序
disorder	혼란	混亂
disparity	불균형	不均衡
dispatch	급송하다	急送
dispatch	급파하다	急派
dispatch	급송	急送
dispenser	분배자	分配者
dispersion	산란	散亂
dispersion	분산	分散
display	진열하다	陳列
display	과시하다	誇示
display	진열	陳列
display	전시	展示
display	표시	表示
displeasure	불쾌	不快
disposal	처리	處理
disposal	처분	處分
disposition	배치	配置
disposition	처리	處理
disposition	성질	性質
disproof	반증	反證
disputant	논쟁자	論爭者
dispute	논쟁하다	論爭
dispute	논쟁	論爭
dispute	분쟁	紛爭
disqualification	불합격	不合格
disqualification	실격	失格
disregard	무시	無視
disregard	무시하다	無視
disrupt	분열하다	分裂
dissection	해부	解剖
dissemination	산포	散布
dissension	불화	不和
dissent	이의	異議
dissenter	반대자	反對者
dissipation	소산	消散
dissipation	방탕	放蕩
dissolution	해산	解散
distance	거리	距離
distinction	차별	差別
distinction	구별	區別
distortion	왜곡	歪曲
distribution	분포	分布
district	지구	地區
district	지방	地方
distrust	불신	不信
distrust	의혹	疑惑
distrust	의심하다	疑心
ditto	동상	同上
diuretic	이뇨제	利尿劑
diversified	다각적인	多角的
diversion	견제	牽制
divert	전환하다	轉換
divider	분할자	分割
divinity	신성	神性
division	분할	分割
division	분배	分配
division	분열	分裂
division	구획	區劃
division	사단	師團
divorce	이혼	離婚
divorce	이혼하다	離婚
doctor	의사	醫師
doctrine	주의	主義
document	문서	文書
document	서류	書類
doll	인형	人形
dolomite	백운석	白雲石
domain	영역	領域
domain	영역	領域
domestic animal	가축	家畜
domestic demand	내수	內需
domicile	주소	住所
dominance	우성	優性
dominant	지배적인	支配的
dominate	지배하다	支配
dominion	주권	主權
donor	기증자	寄贈者
dosage	투약	投藥
dotted line	점선	点線點線
doubling	배가	倍加
doubt	의심	疑心
doubt	의문	疑問
downfall	멸망	滅亡
downpour	호우	豪雨
draft	초안	草案
draft	초고	草稿
drainage	배수	排水
drainage	하수	下水
drawing	제도	製圖
dread	공포	恐怖
dream	몽상	夢想
dress	의상	衣裳
drift	표류	漂流
drift ice	유빙	流氷
drill	훈련하다	訓練
drinking bout	주연	酒宴
drinking water	음료수	飮料水
driving	운전	運轉
dromedary	단봉낙타	單峰駱駝
drop	낙하	落下
dropping	투하	投下
dropsy	수종	水腫
drought	한발	旱魃
drug	약제	藥劑
drummer	고수	鼓手
dry cell	건전지	乾電池
dry dock	건선거	乾船渠
dry goods	잡화	雜貨
dry plate	건판	乾板
duel	결투	決鬪
duke	공작	公爵
dukedom	공국	公國
dummy	모형	模型
duodenum	십이지장	十二指腸
duplicate	부본	副本
duplicate	복사하다	複寫
duplication	중복	重複
duplication	복제	複製
duplicity	이심	二心
duty	의무	義務
duty	책임	責任
duty	임무	任務
dweller	거주자	居住者
dwelling	주거	住居
dynasty	왕조	王朝
eardrum	고막	鼓膜
earnings	소득	所得
earth	지구	地球
earthquake	지진	地震
ease	안심하다	安心
echo	반향	反響
echo	반향하다	反響
economic	경제적인	經濟的
economy	경제	經濟
economy	검약	儉約
ecstasy	황홀	恍惚
eczema	습진	濕疹
edema	부종	浮腫
edema	수종	水腫
edict	칙령	勅令
educe	추출하다	抽出
effect	영향	影響
effect	효과	效果
effective	효과적인	效果的
effeminacy	유약	柔弱
efficacy	효력	效力
effort	노력	勞力
egg cell	난자	卵子
ego	자아	自我
egoism	이기주의	利己主義
elasticity	탄력	彈力
election	선거	選擧
election	선임	選任
electorate	유권자	有權者
electric current	전류	電流
electric light	전등	電燈
electric power	전력	電力
electricity	전기	電氣
electrocardiograph	심전계	心電計
electrode	전극	電極
electrolysis	전해	電解
electron	전자	電子
elegance	우미	優美
elegance	우아	優雅
elegy	만가	挽歌
elegy	애가	哀歌
element	요소	要素
elementary particles	소립자	素粒子
elevation	향상	向上
elimination	소거	消去
ellipse	타원	楕円楕圓
elongation	연장	延長
elongation	신장	伸張
eloquence	웅변	雄弁雄辯
elucidation	해명	解明
emancipation	해방	解放
embankment	축제	築堤
embarrassment	당혹	當惑
embassy	대사관	大使館
embellish	장식하다	裝飾
ember	여신	餘燼
embrace	포옹하다	抱擁
embrace	채용하다	採用
embrace	포옹	抱擁
embryo	태아	胎兒
embryology	발생학	發生學
emigrant	이민	移民
emissary	사자	使者
emission	방사	放射
emperor	황제	皇帝
empire	제국	帝國
employ	고용하다	雇傭
empress	황후	皇后
empyema	축농증	蓄膿症
emulsion	유제	乳劑
enactment	제정	制定
enamel	유약	釉藥
enamel	법랑	琺瑯
encampment	진지	陣地
encephalitis	뇌염	腦炎
enchant	매혹하다	魅惑
encirclement	포위	包圍
encroachment	잠식	蠶食
endeavor	노력하다	勞力
endosperm	배유	胚乳
endurance	인내	忍耐
energy	정력	精力
energy	활기	活氣
energy	원기	元氣
enforcement	집행	執行
engage	고용하다	雇傭
engagement	초빙	招聘
engine	기관	機關
engine	기관차	機關車
engineer	기사	技師
engineering	공학	工學
engraving	조각	彫刻
enjoin	명령하다	命令
enlargement	확대	擴大
enlightenment	계몽	啓蒙
enlistment	입대	入隊
enlistment	징모	徵募
enough	충분히	充分
ensign	군기	軍旗
ensure	확보하다	確保
ensure	보증하다	保證
enteritis	장염	腸炎
enterprise	사업	事業
enterprise	기업	企業
enthusiasm	열심	熱心
enthusiasm	열중	熱中
enthusiasm	열의	熱意
enthusiast	열광자	熱狂者
entice	유혹하다	誘惑
entirety	전체	全體
entity	실체	實體
entrance	입장	入場
entrance	입구	入口
entrust	위임하다	委任
entry	기입	記入
enumeration	열거	列擧
envelopment	포위	包圍
environment	환경	環境
envision	계획하다	計劃
envoy	사절	使節
enzyme	효소	酵素
enzymology	효소학	酵素學
epaulet	견장	肩章
epicenter	진앙	震央
epidemic	유행병	流行病
epigone	아류	亞流
epigraph	비문	碑文
episode	삽화	揷話
episodic	삽화적인	揷話的
epistle	서간	書簡
equal	필적하는	匹敵
equal	필적자	匹敵
equality	동등	同等
equation	방정식	方程式
equator	적도	赤道
equilibrium	평형	平衡
equilibrium	균형	均衡
equivalence	등가	等價
equivalence	등가	等價
era	기원	紀元
era	연대	年代
era	시대	時代
eradication	근절	根絶
erasure	말소	抹消
erection	건립	建立
erection	발기	勃起
erosion	침식	浸蝕
errand	사명	使命
error	과실	過失
error	실책	失策
error	오차	誤差
eruption	폭발	爆發
eruption	분출	噴出
eruption	분화	噴火
eruption	발진	發疹
erysipelas	단독	丹毒
escape	도망	逃亡
escape	도피	逃避
escort	호위	護衛
escort	호위하다	護衛
espouse	채용하다	採用
essay	수필	隨筆
essay	시론	試論
essence	본질	本質
essence	정수	精髓
esteem	존경하다	尊敬
esteem	존중하다	尊重
esteem	존경	尊敬
estimation	평가	評價
estrangement	소원	疎遠
estrangement	이간	離間
eternity	영원	永遠
eternity	영구	永久
ethics	윤리학	倫理學
etiquette	예의	禮儀
etiquette	예법	禮法
eugenics	우생학	優生學
eunuch	환관	宦官
euphony	음편	音便
evacuation	배출	排出
evacuee	피난자	避難者
evaluation	평가	評價
evasion	도피	逃避
evasion	회피	回避
evening paper	석간	夕刊
evening party	야회	夜會
evenness	평등	平等
event	사건	事件
event	종목	種目
everything	만사	萬事
evidence	증거	證據
evidence	증언	證言
evidence	증언하다	證言
evolve	전개하다	展開
exaggeration	과장	誇張
examination	시험	試驗
examination	검사	檢査
examination	조사	調査
examination	심사	審査
examine	시험하다	試驗
examinee	수험자	受驗者
example	실례	實例
example	표본	標本
example	모범	模範
exasperation	분노	忿怒
excellence	우수	優秀
excellence	탁월	卓越
exception	예외	例外
exception	제외	除外
exceptional	예외적인	例外的
excerpt	발췌	拔萃
excerpt	발췌하다	拔萃
excess	과도	過度
excess	과다	過多
excess	과잉	過剩
excess	초과	超過
exchange	교환하다	交換
exchange	교환하다	交換
exchange	교환	交換
excitement	자극	刺戟
excitement	흥분	興奮
excitement	동요	動搖
exclamation	절규	絶叫
exclusion	제외	除外
exclusive	배타적인	排他的
excommunication	제명	除名
excuse	변명하다	辨明
excuse	변명	辨明
excuse	구실	口實
execution	수행	遂行
executive	지배인	支配人
exemplar	모범	模範
exemplification	예증	例證
exemplification	예시	例示
exemplum	모범	模範
exercise	운동	運動
exercise	연습	演習
exercise	행사하다	行使
exercise	연습하다	練習
exertion	노력	努力
exhalation	호기	呼氣
exhaust	배기	排氣
exhaustion	소모	消耗
exhibit	진열하다	陳列
exhibit	출품하다	出品
exhibition	전시	展示
exhibition	박람회	博覽會
exhibitionism	노출증	露出症
exhibitor	출품자	出品者
exile	망명	亡命
exile	유형	流刑
exile	망명자	亡命者
exile	유형자	流刑
exile	추방하다	追放
existence	존재	存在
existence	실재	實在
existence	생존	生存
existing	현존하는	現存
exit	출구	出口
exit	퇴장	退場
exit	퇴장하다	退場
expansion	확장	擴張
expansion	팽창	膨脹
expatiation	부연	敷衍
expectation	기대	期待
expectation	예기	豫期
expectation	예상	豫想
expedience	편의	便宜
expedient	방편	方便
expedient	편법	便法
expel	방출하다	放出
expenditure	지출	支出
expense	비용	費用
expense	지출	支出
experience	경험	經驗
experience	경험하다	經驗
experiential	경험적인	經驗的
experiment	실험	實驗
experiment	실험하다	實驗
experimental	실험적인	實驗的
expiration	만료	滿了
explain	변명하다	辨明
explanation	해석	解釋
explanation	변명	辨明
exploitation	개발	開發
exploration	탐험	探險
explore	탐구하다	探究
explosion	폭발	爆發
explosion	파열	破裂
explosive	폭약	爆藥
export	수출하다	輸出
export	수출	輸出
expose	진열하다	陳列
exposure	노출	露出
exposure	폭로	暴露
expression	표현	表現
expulsion	제명	除名
extension	신장	伸張
extension	연장	延長
extension	확장	擴張
extension	외연	外延
extent	범위	範圍
exterior	외면	外面
exterior	외관	外觀
external	외부	外部
extinction	사멸	死滅
extract	발췌하다	拔萃
extraterritoriality	치외법권	治外法權
extravagance	낭비	浪費
extreme	극단	極端
extreme	극도	極度
extremity	극단	極端
extroversion	외향성	外向性
exuberance	충일	充溢
eyeball	안구	眼球
eyesight	시력	視力
eyetooth	견치	犬齒
fabric	직물	織物
fabricate	제작하다	製作
facade	정면	正面
facade	전면	前面
facade	외관	外觀
face	표면	表面
face	면목	面目
facilitation	촉진	促進
facility	시설	施設
fact	사실	事實
fact	사실	事實
faction	도당	徒黨
faction	당파	黨派
factor	인자	因子
factorial	계승	階乘
factory	공장	工場
faculty	능력	能力
faculty	기능	機能
faculty	기능	機能
failure	실패	失敗
failure	감퇴	減退
failure	고장	故障
failure	낙제	落第
faint	기절하다	氣絶
fainting	졸도	卒倒
fainting	졸도하는	卒倒
fair	박람회	博覽會
fair	품평회	品評會
fairness	공평	公平
fairy	요정	妖精
fairy	선녀	仙女
fairy tale	동화	童話
fairyland	선경	仙境
faith	신용	信用
faith	신앙	信仰
faith	신념	信念
faith	신의	信義
fall	강하하다	降下
fall	함락	陷落
fall	강하	降下
falling	추락	墜落
falling star	유성	流星流星
fallow	유휴	遊休
fallow	유휴하다	遊休
falsetto	가성	假聲
falsification	위조	僞造
fame	명성	名聲
fame	평판	評判
family	가족	家族
family	종족	種族
family	가족	家族
famine	기근	饑饉
fancy	공상	空想
fancy	공상하다	空想
farce	소극	笑劇
fare	요금	料金
farewell	고별	告別
farming	농작	農作
fascicle	분책	分冊
fascinate	매혹하다	魅惑
fascination	매혹	魅惑
fasting	단식	斷食
fasting	절식	絶食
fat	지방	脂肪
fatal	치명적인	致命的
fate	운명	運命
fate	숙명	宿命
fatherland	조국	祖國
fatigue	피로	疲勞
fatness	비만	肥滿
fault	결점	缺點
feast	축제	祝祭
feature	용모	容貌
feature	특징	特徵
federation	연맹	聯盟
fee	요금	料金
feed	사료	飼料
feeler	촉각	觸角
feeler	촉수	觸手
feldspar	장석	長石
fellowman	동포	同胞
fellowship	우정	友情
felony	중죄	重罪
fertility	비옥	肥沃
fertility	풍요	豊饒
fertilizer	비료	肥料
feudal lord	영주	領主
fever	열병	熱病
fidelity	충실	忠實
fief	봉토	封土
field	분야	分野
field artillery	야포	野砲
field gun	야포	野砲
fiend	악마	惡魔
fig	무화과	無花果
fight	전투	戰鬪
fighting cock	투계	鬪鷄
figure	모양	模樣
figure	도형	圖形
filter	여과기	濾過器
finale	종국	終局
finale	대단원	大團圓
finance	재원	財源
finder	발견자	發見者
fine art	미술	美術
finesse	기교	技巧
fingerprint	지문	指紋
finish	완성하다	完成
fire	화재	火災
fire	포화	砲火
fire bomb	소이탄	燒夷彈
fire station	소방서	消防署
firearm	화기	火器
firecracker	폭죽	爆竹
fireman	화부	火夫
firing	발포	發砲
firing	발사	發射
firing	발화	發火
firm	상사	商社
first	제일	第一
first	최초	最初
first edition	초판	初版
first half	전반	前半
first lieutenant	중위	中尉
first offender	초범자	初犯
fish market	어시장	魚市場
fish meal	어분	魚粉
fish oil	어유	魚油
fisher	어부	漁夫
fishing	어획	漁獲
fishing boat	어선	漁船
fishing ground	어장	漁場
fishing net	어망	魚網
fitful	발작적인	發作的
fixation	고정	固定
fixed point	정점	定点定點
fixed star	항성	恒星
fixture	비품	備品
flagship	기함	旗艦
flame	화염	火炎
flank	측면	側面
flash	섬광	閃光
flavoring	조미	調味
flax	아마	亞麻
fleck	반점	斑点斑點
fleet	함대	艦隊
fleet	선대	船隊
flickering	명멸하는	明滅
flight	도주	逃走
float	표류하다	漂流
floating	부동하는	浮動
floating	부유	浮游
floating	부동	浮動
floating	부동적인	浮動
floating capital	유동자본	流動資本
flood	홍수	洪水
flood	쇄도	殺到
flood	범람하다	氾濫
flood control	치수	治水
floodlight	투광기	投光器
floor space	건평	建坪
floral envelope	화피	花被
flourishing	번영하는	繁榮
flower bed	화단	花壇
flower garden	화원	花園
flowering plant	화훼	花卉
fluid	유체	流體
fluorite	형석	螢石
flush	홍조	紅潮
flux	용제	溶劑
focus	초점	焦点焦點
fodder	사료	飼料
folk custom	민속	民俗
folk music	민속음악	民俗音樂
folk song	민요	民謠
folkways	습속	習俗
follower	종자	從者
food poisoning	식중독	食中毒
foodstuff	식료품	食料品
footlights	각광	脚光
footnote	각주	脚注
foray	침략하다	侵掠
force	무력	武力
forebrain	전뇌	前腦
forecast	예상	豫想
forecast	예보	豫報
forecast	예상하다	豫想
foreground	전경	前景
foreign affairs	외무	外務
foreign capital	외자	外資
foreign debt	외채	外債
foreign loan	외채	外債
foreigner	외국인	外國人
foreigner	이인	異人
foreknowledge	예지	豫知
forerunner	선구자	先驅者
foreshadow	예시하다	豫示
forest	삼림	森林
forestry	임업	林業
forever	영원히	永遠
foreword	서문	序文
forfeit	상실하다	喪失
forfeit	상실	喪失
forgery	위조	僞造
form	형식	形式
form	방식	方式
formal	의례적인	儀禮的
format	체재	體裁
formation	형성	形成
formula	공식	公式
fort	보루	堡壘
fortification	축성	築城
fortification	요새	要塞
fortuity	우연	偶然
fortune	행운	幸運
fortune	재산	財産
forwarding	발송	發送
forwarding	회송	回送
fossil	화석	化石
foster daughter	양녀	養女
foundation	토대	土臺
foundation	기초	基礎
foundation	근거	根據
foundation	설립	設立
foundation stone	초석	礎石
foundling	기아	棄兒
fountain pen	만년필	萬年筆
fountainhead	수원	水源
four balls	사구	四球
fowl	가금	家禽
fragment	파편	破片
fragment	단편	斷片
fragrance	방향	芳香
frankincense	유향	乳香
frankness	솔직	率直
fraud	사기	詐欺
freak	기형	奇形
freedom	자유	自由
freezing	냉동	冷凍
freezing point	빙점	氷点氷點
freight car	화차	貨車
freighter	화물선	貨物船
frenzy	광란	狂亂
frequency	빈발	頻發
fresh water	담수	淡水
friendship	우정	友情
front	전선	前線
front line	전선	前線
frontage	정면	正面
frostbite	동상	凍傷
frozen food	냉동식품	冷凍食品
fructose	과당	果糖
fruit	과실	果實
fruit juice	과즙	果汁
fruit sugar	과당	果糖
fruit tree	과수	果樹
frustration	좌절	挫折
fuel	연료	燃料
fugitive	도망자	逃亡者
full dress	정장	正裝
full moon	만월	滿月
fully	충분히	充分
function	기능	機能
function	작용	作用
function	임무	任務
function	작용하다	作用
fund	기금	基金
fund	축적하다	蓄積
fundamental	근본적인	根本的
fur	모피	毛皮
furlough	사가	賜暇
furlough	휴가	休暇
furnish	공급하다	供給
furniture	가구	家具
fuse	신관	信管
fuse	도화선	導火線
fusion	융해	融解
fusion point	융점	融點
futility	무용	無用
future	장래	將來
gain	이익	利益
gaiter	각반	脚絆
galaxy	은하	銀河
gale	폭풍	暴風
gallantry	용감	勇敢
gallery	회랑	回廊
gallnut	몰식자	沒食子
gallstone	담석	膽石
galvanometer	검류계	檢流計
gambling	도박	賭博
game	경기	競技
gap	산협	山峽
garden	정원	庭園
gardening	원예	園藝
gas	기체	氣體
gastralgia	위통	胃痛
gastric juice	위액	胃液
gastritis	위염	胃炎
gastroptosis	위하수	胃下垂
gastroscope	위경	胃鏡
gathering	집합	集合
gathering	채집	採集
gauge	계기	計器
gauge	계기	計器
genealogy	계도	系圖
general	일반적인	一般的
general	일반	一般
general	장군	將軍
general affairs	서무	庶務
general election	총선거	總選擧
general manager	총지배인	總支配人
general meeting	총회	總會
general rule	총칙	總則
generalization	개괄	槪括
generally	보통	普通
generation	세대	世代
genius	천재	天才
gentleman	신사	紳士
gentlemanly	신사적인	紳士的
gentleness	친절	親切
geography	지리	地理
geopolitics	지정학	地政學
geopolitics	지정학	地政學
geotropism	굴지성	屈地性
germ	세균	細菌
germination	맹아	萌芽
gerund	동명사	動名詞
ghost	유령	幽靈
ghost	망령	亡靈
ghost story	괴담	怪談
giant	거인	巨人
ginger	생강	生薑
giraffe	기린	麒麟
gist	요점	要点要點
glacial acetic acid	빙초산	氷醋酸
glacier	빙하	氷河
glamour	매력	魅力
glance	일견	一見
glance	일견하다	一見
glen	협곡	峽谷
glide	활주	滑走
gliding	활주하는	滑走
glint	섬광	閃光
globe	구체	球體
gloom	암영	暗影
gloom	우울	憂鬱
gloom	음울	陰鬱
glory	영광	榮光
