다북쑥속의 식물	オウシュウヨモギ
기저귀	襁褓,お襁褓,おむつ
상담역	顧問
마요라나	マジョラム,オレガノ
방송된 게임	放映されたゲーム
여자용 머리 띠	ブラ,ブラジャー
산뜻한	涼しい,すずしい
공황적인	恐怖
기아픽	アグーチ
동시발생	共時性
신어의 사용	新語
벼룩시장	市場,蚤の市,古物市,フリーマーケット
경기 대회	1. トーナメント 2. トーナメント 3. トーナメント 4. トーナメント
진드기	ダニ
매우 급히	きゅうきょ
우눈트륨	ウンウントリウム
운용 과학	オペレーションズ・リサーチ
경찰 국가	警察国家
식별력을 요하는	快い
상등품	ヒナギク
러크나우	ラクナウ
골짜기 비슷한 것	たに,谷,tani
실제에 어두운	非実際的
팽나무	エノキ
살라미	サラミ
작자 불명의 저작	筆名,雅号,ペンネーム
증류액	蒸留
벵갈루루	バンガロール
콜롬비아	コロンビア
고대이집트학	エジプト学
과달라하라	グアダラハラ
순수하게	綺麗に
태국의 화폐단위	バーツ
증류법	蒸留
세족 목요일	聖木曜日
증류물	蒸留
임종의 방	ガス室
기울다	1. 傾く 2. 曲る
흩뿌리다	散らす,ばら撒く
쿠알라룸푸르	クアラルンプール
몰래 말하다	囁く
아시가바트	アシガバート
상호의 영향	対応
사랑니	親知らず
꾼 사람	借方,債務者
기압계	晴雨計,気圧計
재생하다	リサイクルする
기악가	選手,音楽家
슬라브어의	スラブ人,スラヴ人
무지개송어	マス,虹鱒,ニジマス,鱒,(masu)
켄타우루스	ケンタウルス族,ケンタウロス
어의 발달론	意味論
이해 관계가 없음	ニュートラル
기억력	kioku,記憶,きおく
트란실바니아	トランシルヴァニア
온실 효과	温室効果
월권행위	おうしゅう,押収,ōshū
아우구스투스	アウグストゥス
낭심보호대	jokkusutorappu,ジョックストラップ
게시하다	張り紙,ポスター
여 가장제 사회	家母長制
늘 가는 곳	裏庭
레나강	レナ,レナ川
기업가	冒険家,企業家
곱사등이	傴僂
견적하다	批評する
베오그라드	ベオグラード
인정 없는	迂闊な
납득시키다	自覚,自覚させる,納得,納得させる,説得,説得する
사라져	従って,ですから
쪼개는 것	包丁
무익하게	1. 不用に 2. 不用に
시중드는 사람	保護者,係員
교수하다	教える
거울상체	光学異性体
진실성	1. 信用性,真実性 2. 真実性
기여하다	寄付する
품행이 나쁜 여자	売春婦
파두츠	ファドゥーツ
격노하게하다	息巻く,激怒させる
정보 검색	情報検索
선한목자	イエス・キリスト,みこ,イエスキリスト,キリスト
사철 피는	永遠の,永久の,永遠
선원 생활	水兵,船員,ジャック,水夫
연장 시간	延長戦
평판 있는것	諺,ことわざ,格言
절대 영도	絶対零度
질문하다	質問する
아스파라긴	asuparagin
작은 부젓가락	牧師
진실의	切実に
극악 무도	サタニズム
스케이트보드	スケートボード
일자 일웅	一夫一婦
벨루오리존치	ベロオリゾンテ
사실상	実は,実際には
화학 공학	化学工学
샐비어	セージ
샤미센	さんせん,三味線,三曲,三味
세르비아	セルビア
악마 연구가	サタニズム
가나의 수도	アックラ,アクラ
아스타나	アスタナ
아일랜드 공화국	アイルランド
중앙 아메리카	中米,中央アメリカ
편파적으로	一部,部分的に
레몬그래스	レモングラス
재미로 하는 것	アミューズメント
서양장기	西洋碁,チェッカー
산성의	酸性の,酸性
파도바	パドヴァ
산성증	酸性症,アシドーシス
코르시카	1. コルシカ島 2. コルシカ島
이야기 잘하는	口語の,口語,話し言葉
절제하는	禁欲
작은 캥거루	ワラビー
네델란드	オランダ
코탄젠트	余接,コタンジェント
질식시키다	1. 窒息させる 2. 窒息させる
산성화	酸性化
분리주의자	分離主義者,分離独立
질식시키는	切ない
고슴도치	1. ハリネズミ 2. ヤマアラシ
판도라	パンドーラー
게걸스레 먹는	熱心な
비디오 게임	コンピューターゲーム,ビデオゲーム,テレビゲーム
우주 비행사	宇宙飛行士
산성비	酸性雨
상투메 프린시페	サントメ・プリンシペ
사생활	ひみつ,秘密,グライバシー
영리주의자	商業
노스트라다무스	ノストラダムス
발표하다	通告,知らせる
절대 온도	ケルビン
세네갈	セネガル
짐싣기	つみに,tsumini,積荷
질식체	消火器
티라나	ティラナ
아스타틴	アスタチン
수중 거주실	生息地,棲息地
바티칸 시국	1. バチカン市国,法王庁,バチカン 2. バチカン市国
생물학	生物学
산사태	山津波
특별히	特別,特別に
사수대	弓道
특별한	1. 特別な 2. 非凡
사업가	冒険家,企業家
출판하다	出版
기증품	寄付
개인주의	1. 個人主義 2. 個人主義
닭의 볼기살	ぼんぼち
위원수탁자	委員会,委員會
진사의	朱色,赤い
지속성	忍耐,堅持
카르나타카	カルナータカ州,カルナータカ
피곤하게 하는	退屈な
베낸 고깃점	ステーキ
신인동형동성설	擬人観,擬人化
지소사	chiisana,小さな,ちいさな,小型の
허리의 잘록한 곳	胴回り,ウエスト,胴のくびれ,腰
고소하다	訴える
위 협	脅迫
긴 겉옷	ドレス,ワンピース
지진 해일	津浪,津波,つなみ
원핵 생물	原核生物
동남아시아	とうなんあじあ,東南アジア,Tōnan-Ajia
크리스토퍼	クリストファー
못 본체함	ハゼ,鯊,沙魚
가보로네	ハボローネ
숙련된 기술	呼吸
악취를 풍기는	くさい,臭い
금고 털이 연장	かんきり,缶切り
안녕하십니까	こんにちは,こんばんは
폭력단원	ちんぴら
그럼에도불구하고	やはり,しかも,それにもかかわらず,それでも
성 차별	性差別
과거완료	過去完了
3인 관리제	三頭政治
동력지레	ニガー,黒いやつ
인도네시아어	インドネシア語
증기 보일러	ボイラー
자연과학	1. 自然科学,物理科学 2. 物理科学
가수분해	加水分解
항성상 천체	クエーサー
학위 논문	論文
음매 음매	牛,雌牛
더욱 더	その上,しかも,その上に,尚且つ,さらに,katsu
집사람	家内,fujin,妻,女子,つま,okusan,奥さん
일산화질소	笑気
상수도	都市インフラ
전무 이사	管理者,支配人,ディレクター
새색시	花嫁,新婦
세대차	:ジェネレーションギャップ
금광;부원	金鉱
길조의	さい先のよい
상수리	ドングリ,団栗,どんぐり,donguri
어이없는	悲しい,かなしい
근친혼	近親婚
상사의	似たような
지소의	chiisana,小さな,ちいさな,小型の
유전적 특징	遺伝学,遺伝的特性
열렬한 애인	ロミオ
군주 정치	君主制
팔꿈치	1. 肘 2. 肘 3. 肘
증오심	存分,憎しみ,憎悪
아스팔트	1. アスファルト 2. アスファルト舗装路,ターマック
가택 구류	自宅軟禁
아파트거주자	穴居人
자연발생론	自然発生説
외국인을 싫어하기	外国人排斥,外国人恐怖症,外国人嫌悪
훅부는 사람	鰒,河豚,フグ
전망이좋은	美しい
라오족	ラオス人,ラオ語,ラオス語
분자 생물학	分子生物学
이탈리아	1. 伊太利亜,伊太利,イタリー,イタリア 2. イタリア
백색 왜성	白色矮星
중학교	1. 中学校 2. 中学校
울려 퍼짐	聞こえ
결코... 안다	何時でも,万々,曾て
라오어	ラーオ語
기운을 돋우는것	wain,ワイン,葡萄酒
에리트리아	エリトリア
라오스	ラオス
특명의	非凡
연체 동물학	軟体動物学
노하게 하다	悪化する
군사 교련	guntai,軍隊,ぐんたい
네덜란드	オランダ
대사부인	大使
말이난 김에	ところで,ちなみに
ㅁㅇ	比較的,比較的に
그레나다	グレナダ
목금의 일종	マリンバ,シロフォン,木琴
성급한	突然
꼼꼼한	精密,正確な,厳密な
파내다	蘇らせる
파나마	1. パナマシティ,パナマ 2. パナマ
공고하다	通告,知らせる
이구아노돈	イグアノドン
소리가 크다	肺,肺臓
그후에	それ,それから,その後,後で
타일랜드어	タイ語
세계화	グローバライゼーション,グローバリゼーション,グローバル化
금하다	禁ずる,禁止する,禁じる
아시아주	アジア
앰뷸런스	救急車
트리튬	トリチウム,三重水素
주황색	オレンジ色
크메르 루주	クメール・ルージュ
프리지어	フリージア
모스크바	モスクワ
중합체	重合体,ポリマー
지어낸 이야기	お伽話,おとぎ話,メルヘン,童話
쓰다듬다	かわいがる,愛撫する,愛撫,なでる
하이에나	ハイエナ
귀족 명감	かぞく
농경학법	農学
착상하다	想像する,そうぞうする
염소 처리법	塩素化
연산방식	アルゴリズム,arugorizumu
동음 이자	同音語
전가하다	任命する
레스토랑	レストラン,食堂
뉴질랜드	1. ニュージーランド 2. ニュージーランド
뜨내기 정치가	カーペットバッガー
소련 정부	クレムリ
서나무	垂,四手
사브르	サーブル
나팔꼴 보청기	補聴器
라자냐	ラザニア
메역취속의 식물	アキノキリンソウ
카페테리아	食堂
튀긴 옥수수	ポップコーン
레바논의 수도	ベイルート
냄새 나는	傲慢な,横柄な,高慢な
가시고기	若者
지상권	主権
성공한	幸運な,成功した,成功裏の
카프리섬	カプリ島
그러니까	従って,ですから
광고 방송	広告
포트오브스페인	ポートオブスペイン
신학설 신학	新語
소리지르다	叫ぶ
안타나나리보	アンタナナリボ
산타클로스	サンタクロース
사변형	中庭,なかにわ
나긋나긋한	軽い
성미에 안 맞는	嫌って
선동가	煽動
밝게 하다	照明する
란제리	ランジェリー
그행사	拒否権
생물상	生物学
포장재료	どうしょう
생명학	生態学
뉘른베르크	ニュルンベルク
확대하다	誇張する,誇張
불굴의 정신	勇気
결합하다	溶接する
생물량	生物量,バイオマス
라이터	可燃物
패배주의	敗北主義
끔찍하게 죽이다	謀殺する,殺害する,殺す
세인트빈센트그레나딘	セントヴィンセントおよびグレナディーン諸島,セントビンセント・グレナディーン諸島
사생아	落胤,ラブチャイルド,私生児
에리트레아	エリトリア
골드코스트	ガーナ,ゴールドコースト
항공우편	航空書簡
지방화	局所化,ローカライゼーション,局在化,地方化
백년 계속되는	世俗の,世俗,非宗教的な,非宗教的,世俗的な
사산아	死産
클레이모어 지뢰	クレイモア
트럼펫	1. トランペット 2. トランペット,口琴
트랙터	トラクター
트랙타	トラクター
이겨내다	壊滅させる,鎮圧する
몬트리올	モントリオール,モントリオー
레닌그라드	ペトログラード,サンクトペテルブルク,レニングラード,セントピーターズバーグ
생물권	生物圏
생물군	生物学
기름에 튀긴	age
트롬본	トロンボーン
나비넥타이	ボウ
섣달그믐날	大晦日
간호사의일	かんご
상비군	陸軍,軍,軍隊
주현절	公現祭
주홍색	くれない,朱,あか,緋色,丹朱
증수회	賄賂
철근 콘크리트	鉄筋コンクリート
말을 더듬다	1. 吃り 2. 吃る,どもり
사파이어	サファイア
그래비톤	重力子
생리학	1. 生理学 2. 生理学
트랜스	変流器,トランスフォーマー,変圧器
큰 천막을 치다	パビリオン
젊은 여자	少女,女の子
강제하다	強要する
코듀로이 양복	コーデュロイ
비파나무	ビワ,枇杷
가공의 사람	伝説,神話
팔각형	八角形,八角,はちかっけい
융합시키다	合同
이문 남겨 팔다	頭皮
수리논리학	数理論理学
태양 신경총	太陽神経叢
연골 조직	軟骨
새벽녘	akegata,暁,夜明け,あけがた,明け方
국제적인	国際的な
벨그라드	ベオグラード
진분수	真分数
영국의수도	ロンドン
에펠 탑	エッフェル塔
지부티	1. ジブチ 2. ジブチ
천천히 들어감	当てこすり
귀뜀;암시;정보	グリフォン
참고서목록	参考文献,しょし,書誌学,書誌,文献目録
찌르는듯한	辛辣です
연필 깎개	鉛筆削り
암스테르담	アムステルダム
란저우	蘭州
세균학	1. 細菌学 2. 細菌学者
대성공의	幸運な,成功した,成功裏の
꽃가루	花粉
깨우다	起こす,目覚める,おきる
유사 분열	体細胞分裂
표정이 풍부한	雄弁な,口八丁な,雄弁,爽やか,三寸な
비실용적인	非実際的
로스앤젤레스	ロサンゼルス
평평한	横の,横,水平な,水平
신청하다	依頼する
재정한	仲介する
전부터	nagaraku,ながらく,長らく
아랍에미리트	アラブ首長国連邦
사라예보	サライェヴォ,サラエヴォ,サラエボ
깨끗하게	綺麗に
당황하게 하는	不可解な
귀족 계급	かぞく
입체파	キュビスム
끌어당기다	引きつける
감독회	教区
다발짓다	束,層
눈물 어린	kasumi
심술 궂은 여자	カタマラン
일층석	オーケストラ,ōkesutora
동질접합체	ホモ接合型
정밀한	精密,正確な,厳密な
자청색	マゼンタ,マジェンタ
비슈케크	ビシュケク
허리의 잘룩한 곳	胴回り,ウエスト,胴のくびれ,腰
오세트어	オセット語
깨끗한물	リンパ液
표시어	類義語,同義語
거의...않다	ぎりぎり
표면상의	表面上
아라비아어	1. アラビア語 2. アラビア語,アラビア人
감독자	警視
고급 주택화	ジェントリフィケーション
어떻게 든지 하여	なぜか
재이용	リサイクル
의미 심장	妊娠,にんしん
흡족하게	順調に
오를레앙 천	オルレアン
홀로코스트	ユダヤ人大虐殺,ホロコースト
빨래집개	洗濯ばさみ
장장한	強壮な
화학 반응기	原子炉,反応器
자연도태	自然淘汰,適者生存
테스토스테론	テストステロン
국제간에	国際的に
무선 전신	ラジオ
사가랴	ゼカリヤ書
완료 분사	過去分詞
입체경	実体鏡
포타슘	カリウム
머릿가죽	頭皮
레몬수	レモネード
셸란 섬	シェラン島
전범위	全域
관청식의	繁文縟礼,レッドテープ
자책골	オウンゴール
레바논	レバノン
... 하자마자	その内,実際に,今
재정인	レフリー
풍부한	1. 金持,金持の,富有な,裕福,富有,裕福な,豊か 2. だいふごう,大富豪,ひゃくまんちょうじゃ,百万長者 3. 豪華な
프로트악티늄	プロトアクチニウム
접미어	接尾辞
수수께끼	謎,nazo
입천장	上顎,口蓋
일치된	連合した
인지(inji)	心得,chishiki,学識,ちしき,認知,こころえ
접미사	接尾辞
푸성귀	野菜,緑黄色野菜
악티늄케이	フランシウム
줄기차게 공격하다	包囲,攻城戦
솔로몬제도	ソロモン諸島
밀실 공포증	閉所恐怖症
이중베일	ヤシュマク
끝내다	1. 中止する 2. 終える,終了する 3. 終わる 4. 切れる,終わる
탄수화물	炭水化物
전능의 신	全能
진보주의	革新
어느덧 지나가는	はかない,hakanai,儚い,儚い (はかない)
결혼의신	処女膜
맑아지다	大便をする,くそをする
중탄산 소다	重曹
비틀배틀	雁木,ジグザグ
동시적인	同じ,同時
불가리아의 수도	ソフィア
노르웨이	諾威,ノルウェー
가로챔	おうしゅう,押収,ōshū
오리야어	オリヤー語
병참 업무	物流,運送,兵站,butsuryū,ぶつりゅう
전위차계	ポテンショメータ
브르타뉴	ブルトン語
가련한	辛辣な,痛切な,痛烈な
가게 주인	商人,shōnin
홋카이도	北海道
응하여	二度と,再び,又,二度,あらためて,再度,もう一度,って
여성에게 어울리는	onnarashii,女らしい,おんならしい
상상 할 수도	問題外,信じられない,問題にならない
브리즈번	ブリスベン
디지털형의	デジタル
산토도밍고	サントドミンゴ
신교 교회	プロテスタント
가로의	横の,横,水平な,水平
최루 가스	催涙ガス
사랑스러운	可愛い,素敵
자메이카	1. ジャマイカ 2. ジャマイカ
대기업가	実業家
기억력 상실	記憶喪失
전성기	正午,jūni-ji,昼,真昼,しょうご,shōgo,十二時,じゅうにじ
사기꾼 같은 짓	経験論,偽医療
가려움	かゆみ
이튿날	午前,翌日
가려운	痒い
자치체	自治体,町,都市
레몬밤	レモンバーム,西洋山薄荷
가로등	gaitō,街灯
천연가스	ガス,市ガス,天然ガス
그릇된 계산	いさん,isan,違算
마드리드	マドリッド,マドリード
노른자위	卵黄,らんおう,黄身
저서명	話題,主題
과떼말라	グアテマラ
인디고틴	インディゴ
벌집의작은구멍	肺胞
간이 식당	1. レストラン,食堂 2. kafe,コーヒーハウス,珈琲,コーヒー店,喫茶店,カフェ
이태리	伊太利亜,伊太利,イタリー,イタリア
프랑스 여자	フランス人
에베레스트	エベレスト,チョモランマ
감람석	橄欖石,カンラン石
꼭 맞게	適当に
대기오염	大気汚染,空気汚染
경상 계정	当座預金
불공평하게	一部,部分的に
염가 수출	投棄
감람암	カンラン岩,橄欖岩
모래 폭풍	sunaarashi,砂嵐,すなあらし
뾰족탑	ミナレット
평범한 이야기	決まり文句
이탄지	コケ,苔
이터븀	イッテルビウム
큰바다오리	大海烏
모험을 즐기는	冒険好きな,冒険的な
나가노	中部,長野
직접 목적어	直接目的語
제비꼬리	アゲハチョウ,agehachō
백파이프	バグパイプ
시계 연구가	oro-rojisu-tu,時計屋
중세의 현악기	ヴィオラ・ダ・ガンバ,ヴィオラ
해군 소장	しょうしょう
책략이 있는	巧妙な,狡い,ずるい,狡猾,悪賢い
군인다운	軍事的な
동굴 탐험가	穴居人
허벅다리	腿,股,太股
규격대로의	常態,正常
면목없음	羞恥心
재즈팬	ヒッピー
각다귀	ぶよ
모가디슈	モガディシュ
감나무	カーキ色,柿,柿の木
인쇄용 잉크	inku
예외 없이	一般に
셀레베스	スラウェシ島
덧붙여 말하자면	ところで,ちなみに
전립선	zenritsusen,前立腺,ぜんりつせん
프로탁티늄	プロトアクチニウム
프로이센	プロイセン
경험주의의	実証的
압축 펌프	圧縮
쿠웨이트	1. クウェート 2. クウェート
란타늄	ランタン
총상 화서	総状花序
1주간의	毎週の
마드라스	チェンナイ,マドラス
제라늄	ゼラニウム
정복할 수 없는	乗り越えられない
자음표	音節文字
참을수 없음	不寛容
란탄족	ランタノイド,希土類
전리품	戦利品,略奪品
불을 뿜는 용	竜,ドラゴン
허드렛 일꾼	広く浅く,万屋
마음에 두는	眠らずに
유행의	oshare,オシャレ,おしゃれ
고의의 기물파괴	あらし
블루베리	ブルーベリー
가돌리늄	ガドリニウム
세부아노어	セブアノ語
전매품	専売,独占
2중 모음	二重母音
낙천주의	rakuten,らくてん,楽天
공기조절	クーラー,空調装置,エアコン,空調,冷房装置,空気調節,空気調和,家電製品,冷房
포르투갈어	1. ポルトガル語 2. ポルトガル語
은퇴자	退職者
푸줏간 주인	肉屋
법정 불환 지폐	不換紙幣
부패하아	1. 腐る 2. 腐る
작은길	jindō,じんどう,人道
고생물학	古生物学
마음에 드는	魅力的な,みりょくてきな
주 1회의	毎週の
이집트	エジプト
조가비	貝殻
백포도주	白ワイン,白葡萄酒
풀솜 같은	ふかふかした,ほっこり
음절 문자표	音節文字
나고야	名古屋,なごや,名古屋市
저마늄	ゲルマニウム
절망 상태	絶望,ぜつぼう,zetsubō
자장가	子守歌,ララバイ
기회주의	適切な
자전거	自転車
전매권	専売,独占
진주 같은 것	梨,梨の実
자율성	自治,自主性
조각상	ぞう,zō,像
인지질	リン脂質
클레오파트라	クレオパトラ
의붓어머니	継母
오염 물질	おせんぶっしつ,汚染物質
자이레	コンゴ民主共和国,コンゴ民主共和国（旧ザイール）,ザイール,コンゴ共和国,コンゴ民主共和国 (キンシャサ)
나그네	ryojin,tabibito,旅人,りょじん,たびびと,tabinin,たびにん
증기응결기	冷蔵庫
마법사의 돌	賢者の石
의치상	いれば,入歯,ireba,総義歯
란타넘	ランタン
밀리그램	マイクログラム,mg
예측못할사건	成功報酬
작은섬	島,小島
러시아	ロシア連邦,ロシア
양반답게	そっと
검둥오리	オオバン
종합 사회자	アンカーマン
무서워하는	パニック状態
잡종개	雑種
페르미 입자	フェルミ粒子
발레아레스 제도	バレアレス諸島
한정적으로	必ず,確かに,きっと
알레고리	1. アレゴリー,寓言,ぐうげん 2. アレゴリー
장원형	楕円
저하시키다	悪化する,低下する
소강 상태	小康
하바로프스크	ハバロフスク
기형 발생 물질	テラトゲン,催奇形物質
풀을 말리는 사람	テディベア
적법성	合法,合法性
동시주의	共時性
잠잠함	小康
전방에	1. 前へ 2. 前へ
꾸짖다	叱る,しかる
승자 진출전	トーナメント
인정있는	人道的な
상대론적인	相対論的
요코하마	横浜,横浜市
발암성 물질	発癌物質
간단한	簡単な
편하다	ben na,べんな,便な
꾸준히	1. しっかり 2. しっかり
융해점	融点
신성 로마 제국	神聖ローマ帝国
눈물을 흘리다	しくしく泣く,すすり泣く,泣く
유틀란트 반도	ユトランド半島
어지럽히다	気をそらす
폭음하다	ガブガブ飲む
잔잔한	さらさら,さらさらと,つるつる
콩고 민주 공화국	コンゴ民主共和国,コンゴ民主共和国（旧ザイール）,ザイール,コンゴ共和国,コンゴ民主共和国 (キンシャサ)
저명한	有名な,nadakai,なだかい,名高い,高名な,有名
튀어 오르는	ビクビク
코스타리카	コスタリカ
기분이 좋지 못한	くもり,(kumori)
가득히	存分に,十分
죽음의 도시	墓地
머리털이-인	毛深い
1주간 계속되는	毎週の
장엄한	素晴らしい,subarashii,見事,素晴しい,立派な
램제트	ラムジェットエンジン
구자라트 주	グジャラート,グジャラート州
여족장제	家母長制
저녁때 해질녁	黄昏,薄明,日暮
연락하다	仲介する
참을수 있는	まあまあ
편한일	asameshimae,朝飯前
아주 기뻐서	うれしく,運良く,楽しく,ureshiku
잠자리	蜻蛉
조금씩	1. 少しずつ,小刻みに 2. ようやく,小刻みに
자만하여	無益
음탕한	嫌らしい,エッチ
생각에 잠긴	反射的な
이국풍의	esotica,エキゾチック
조금은	一部,部分的に
물결 대시	波ダッシュ
음식물의	栄養素
정맥동	副鼻腔
무리하게	強制的に
정말로	必ず,zehi,正に,是非,その通り,屹度,実に,確かに,確実に,きっと,ぜひ
마다가스카르	1. マダガスカル 2. マダガスカル
프로메튬	プロメチウム
성물을 훔치는	mottainai,もったいない
코코야자	ココナッツ
포괄적인	包括的な
절연체	誘電体
조리실	調理,料理
진저리 나는	退屈な
악화시키다	1. 悪化する 2. 悪化する,低下する
근심걱정에 시달린	やつれた
조리법	調理手順,レシピ
가늘고 긴 돛배	分配,割り当て
..에게 돌리다	任命する
풀베는 사람	草刈り,芝刈り機
아르기닌	アルギニン
지불불능	支払不能
일본군 성노예	慰安婦,従軍慰安婦
반항하는	憎い
표면상	思しい,明らかに,明白に,らしい,明らか
말단거대증	先端巨大症
스리랑카	セイロン,スリランカ
인정하다	公言する
외대박이 돛배	スループ
설명하다	明示する,説明する
믿기 어려운	驚異的な,インクレジブル,ありえない,飛躍しすぎている,信じられない
액솔로틀	ウーパールーパー,アホロートル
수평 낙하하다	パンケーキ
로마자	ラテン文字,ローマ字
후추나무의 일종	ピーマン
히스속의 식물	ギリュウモドキ
앨리게이터속	アリゲーター属
엘살바도르	サルヴァドール,エルサルバドル
자폐증	自閉症
타슈켄트	タシケント,タシュケント
전염병	梅毒
종자 식물	顕花植物
지레 받침	支点
천체물리학	宇宙物理学,天体物理学
암기하다	記憶する
스탈린주의	スターリニズム,独裁政治,幕府,bakufu,独裁
신학교 교장	牧師
통학버스	スクールバス
익히다	慣れる
표백기	漂白剤
산골짜기	峡谷
인회석	燐灰石
성 금요일	受難日,聖金曜日
아나운서	アナウンサー
기계어로 쓰인	絶対,絶対な
레시피	調理手順,レシピ
토너먼트	トーナメント
투옥하다	1. 刑務所に入れる,投獄する,けいむしょに入れる 2. 刑務所に入れる,けいむしょに入れる
마르세이유	マルセイユ
노간주나무	ネズ,杜松,ビャクシン
원자력 발전	かくほゆうこく,kakuhoyūkoku,核保有国,原子力
플래시카드	教材用のカード,フラッシュカード
껍질을 벗기다	上陸する
카스토르	ビーバー
성신 강림 축일	聖霊降臨祭,聖霊降臨,ペンテコステ
기화하다	蒸発する
생명과학	生命科学,ライフサイエンス
잘못된 평가	いさん,isan,違算
의 뜻의 결합사	味噌,みそ
시기에 맞게	適当に
꿈꾸는듯 한	1. 遥か 2. 遥か
저어새	ヘラサギ
상냥함	法令遵守
내국세	情報検索
상냥한	愛想のいい
상륙시키다	上陸する
플랑드르	フランドル,フランダース,フランデレン地域,フランドル・フランセーズ,フランデレン州
야전 병원	野外病院
장악 마개	梱包
그에 따라서	したがって
나르시스	suisen,水仙
가볍게 삐다	挫く
캠브리지	ケンブリッジ
값비싼	1. かちたかい,価値高い,kachitakai,貴重,大切な 2. 貴重
완고한 보수주의자	飛行船
가상법	仮定法,接続法
도피장소	アルザス地域圏,アルザス
고기잡이 그물	魚網
인터페론	インターフェロン
레슬링	1. レスリング 2. レスリング
고기의 달걀말이	春巻き
견갑골	肩胛骨,肩甲骨
웹 페이지	ホームページ,ウェブページ
개인용 컴퓨터	マイクロコンピュータ,パソコン,マイコン
사과하다	詫びる,謝る
공언하다	公言する
조미료	1. 香辛料 2. グルタミン酸ナトリウム
점유자	持ち主
감비아	ガンビア
적절함	手腕
라틴어	ラテン語
선거 위원단	大學,学園,大学,学寮,単科大学
새기다	1. 切る 2. 切る
적절히	適当に
슈트케이스	スーツケース
제약사	薬剤師
가상의	1. 仮想 2. 仮想
가사집	語彙
간섭계	干渉計,かんしょうけい
로렌슘	ローレンシウム
재판소	司法
여러 가지로	色々
자회사	子会社
가속도	そくど,速さ,速度
각색자	アダプタ,アダプター
로사리오	ロザリオ
돌연 변이 유도물	変異原,変異原性
낙농업	酪農場,牛乳屋,牛乳販売店,日用雑貨店,牧場
젊은이	少年,ティーネージャー
낙농장	酪農場,牛乳屋,牛乳販売店,日用雑貨店,牧場
이스라엘의 국회	クネセト
주야 평분점	分点
레소토	レソト
노예 소유	奴隷
가리는 것이 많은	快い
양식이 없는	非実際的
이국적인	esotica,エキゾチック
점유권	占有権,特権
각성제	アンフェタミン
거대한	莫大な,dekai,dekkai,莫大,でかい,広大,でっかい,広大な,大きい,巨大
각속도	角速度
정어리	イワシ
전자석	電磁石
의지할 데 없는	心細い
테크네튬	テクネチウム
불완전하게 하다	ばらばらにする,ばらばら
가솔린	ガソリン
아르고스	アルゴス
가감장치	アダプタ,アダプター
마오쩌둥	毛沢東
멋쟁이류의 나비	アタランタアカタテハ
조림학	林業
인조인간	じんぞうにんげん,人造人間
인공위성	人工衛星,衛星
빈 것	採用
병구완간호	かんご
가소제	可塑剤
조류학	鳥類学
조립자	アセンブラ,asenbura
싫은 소리	ノミ,蚤
꾀하다	想像する,そうぞうする
사과파이	林檎パイ
저장소	kura,倉
간사한	巧妙な,狡い,ずるい,狡猾,悪賢い
지나가는 비	いっそう
난독증	ディスレクシア,失読症
노심 융해	炉心溶融
열의없는	物憂げな,無関心な
전술한	前述の
인도주의	人道主義,jindōshugi,じんどうしゅぎ
되풀이하는	イテレーティブな
뉴 칼레도니아	ニューカレドニア
지옥 같은 곳	煉獄
상관성	相関
갈매기	1. カモメ,鴎 2. 鴎
짐 꾸림	分配,割り当て
점성술	占星学,占星術
날이 날카로운	ビクビク
낱낱이	特別,一入,ひとしお,別段,特殊に,特別に
편집부	机,たく
건습구 습도계	乾湿計
동티모르	東チモール,東ティモール
적송품	つみに,tsumini,積荷
상품화 계획	販売
풋내기	初心者
훈령 요청서	国民投票,レファレンダム
대사등에대한존칭	閣下
음란한 여자	イゼベル
확신시키다	自覚,自覚させる,納得,納得させる,説得,説得する
건강히	健康的に,健康に
분리주의	分離主義,ぶんりしゅぎ
적색왜성	赤色矮星
시아파의 사람	シーア
주임 목사	牧師
살균제	1. 消毒 2. 殺菌剤
유용한 물건	商品
광메이저	レーザー
고위 성직자	教皇,法王,ポープ,ローマ法王,ローマ教皇
본래부터 싫은	嫌って
플라멩코	1. フラメンコ 2. フラメンコ
개라지	整備工場
알레르기	アレルギー,arerugī
레이저	レーザー
전술가	戦術家
베르사이유	1. ヴェルサイユ 2. ヴェルサイユ
알레르겐	アレルゲン
두드러기	蕁麻疹
되풀이하여	しばしば
배신행위	不忠実,不信実,不貞
사냥꾼	狩人,ハンター
일반투표	国民投票,レファレンダム
사나움	激烈
순서가>임	優先権
상극인	どっちつかず
남김없는	懇切な
제상 장치	解氷剤,溶氷剤
음흉한	巧妙な
장축단	アプス,長軸端
감마선	ガンマ放射線
재채기	くしゃみ
헤파이스토스	ヘーパイストス
이트륨	イットリウム
금주하는	禁欲
담력이 있는	いさましい,勇敢な
자치체 당국	自治体,町,都市
구경양배추	コールラビ
조동사	補助動詞,助動詞
로라시아 대륙	ローラシア
항복하다	諦める,降伏する
갈못집	妓楼,売春宿,ぎろう
미친 사람	kyōjin,きょうじん,狂人
양탄자재료	カーペット,絨毯
케임브리지 대학	ケンブリッジ
머큐리신	水銀
물적 재산	不動産
비능률적인	不能な
인공지능	アーティフィシャルインテリジェンス,人工知能
고대 시리아	シリア
3개월간	四半期
일하다	1. 働く 2. 運営する 3. 働く
자판기	自動販売機
포악한	独裁的な
